"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"Окт. '98","0,5970","0,5969","0,5970","0,5969","1,43%"
"Сент. '98","0,5886","0,5883","0,5886","0,5883","-1,56%"
"Авг. '98","0,5979","0,6013","0,5979","0,6013","-2,26%"
"Июль '98","0,6117","0,6114","0,6117","0,6114","1,98%"
"Июнь '98","0,5998","0,5998","0,5998","0,5998","-2,19%"
"Май '98","0,6132","0,6129","0,6132","0,6129","2,49%"
"Апр. '98","0,5983","0,5979","0,5983","0,5979","0,13%"
"Март '98","0,5975","0,5972","0,5975","0,5972","-1,71%"
"Февр. '98","0,6079","0,6076","0,6079","0,6076","-0,67%"
"Янв. '98","0,6120","0,6116","0,6120","0,6116","0,74%"
"Дек. '97","0,6075","0,6078","0,6075","0,6078","2,46%"
"Нояб. '97","0,5929","0,5936","0,5929","0,5936","-0,70%"
"Окт. '97","0,5971","0,5964","0,5971","0,5964","-3,48%"
"Сент. '97","0,6186","0,6191","0,6186","0,6191","0,26%"
"Авг. '97","0,6170","0,6167","0,6170","0,6167","1,10%"
"Июль '97","0,6103","0,6108","0,6103","0,6108","1,56%"
"Июнь '97","0,6009","0,6011","0,6009","0,6011","-1,51%"
"Май '97","0,6101","0,6107","0,6101","0,6107","-0,97%"
"Апр. '97","0,6161","0,6163","0,6161","0,6163","0,69%"
"Март '97","0,6119","0,6134","0,6119","0,6134","-0,33%"
"Февр. '97","0,6139","0,6139","0,6139","0,6139","-1,63%"
"Янв. '97","0,6241","0,6239","0,6241","0,6239","6,85%"
"Дек. '96","0,5841","0,5841","0,5841","0,5841","-1,82%"
"Нояб. '96","0,5949","0,5951","0,5949","0,5951","-3,17%"
"Окт. '96","0,6144","0,6141","0,6144","0,6141","-3,88%"
"Сент. '96","0,6392","0,6394","0,6392","0,6394","-0,14%"
"Авг. '96","0,6401","0,6398","0,6401","0,6398","-0,42%"
"Июль '96","0,6428","0,6430","0,6428","0,6430","-0,17%"
"Июнь '96","0,6439","0,6436","0,6439","0,6436","-0,19%"
"Май '96","0,6451","0,6453","0,6451","0,6453","-3,04%"
"Апр. '96","0,6653","0,6667","0,6653","0,6667","1,54%"
"Март '96","0,6552","0,6552","0,6552","0,6552","0,32%"
"Февр. '96","0,6531","0,6531","0,6531","0,6531","-1,27%"
"Янв. '96","0,6615","0,6618","0,6615","0,6618","2,56%"
"Дек. '95","0,6450","0,6450","0,6450","0,6450","-1,38%"
"Нояб. '95","0,6540","0,6540","0,6540","0,6540","3,38%"
"Окт. '95","0,6326","0,6326","0,6326","0,6326","0,11%"
"Сент. '95","0,6319","0,6319","0,6319","0,6319","-2,12%"
"Авг. '95","0,6456","0,6456","0,6456","0,6456","3,36%"
"Июль '95","0,6246","0,6246","0,6246","0,6246","-0,64%"
"Июнь '95","0,6286","0,6286","0,6286","0,6286","-0,06%"
"Май '95","0,6290","0,6290","0,6290","0,6290","1,26%"
"Апр. '95","0,6212","0,6212","0,6212","0,6212","1,12%"
"Март '95","0,6143","0,6143","0,6143","0,6143","-2,89%"
"Февр. '95","0,6326","0,6326","0,6326","0,6326","0,40%"
