,anonymousId,utm_source,utm_medium,utm_campaign,session_start_time,"duration, m"
120,22be5dd0-0c23-11e8-9719-1570aa9042ca,No data,No data,No data,2018-02-07 16:22:48.825000+00:00,16.0
121,23ebe1f0-0bce-11e8-ac93-873bdfa34e03,No data,No data,No data,2018-02-07 06:14:23.618999+00:00,0.0
122,23ff7180-0bf0-11e8-81b3-c140b269d43f,No data,No data,No data,2018-02-07 10:17:46.690000+00:00,0.0
123,24ebb1a0-0bc1-11e8-925b-fdfe929e17ef,No data,No data,No data,2018-02-07 04:41:22.085999+00:00,3.7333333333333334
124,25a43d20-0bca-11e8-8baf-1534929caa2f,No data,No data,No data,2018-02-07 05:45:48.407000+00:00,0.0
125,25bbf1f0-0c19-11e8-8cdc-63fea99931d0,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,scMIE0HCE9amvF9RU2DiyQ==,2018-02-07 15:11:20.953999+00:00,4.416666666666667
126,25bbf1f0-0c19-11e8-8cdc-63fea99931d0,No data,No data,No data,2018-02-07 15:15:49.505000+00:00,1.6
127,25f76260-0c1b-11e8-ba1b-affe46308cd3,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 15:25:38.782000+00:00,0.0
128,25f76260-0c1b-11e8-ba1b-affe46308cd3,No data,No data,No data,2018-02-07 15:25:48.523000+00:00,2.3333333333333335
129,2659a110-0be3-11e8-899d-25a1737ed4d2,No data,No data,No data,2018-02-07 08:44:26.559000+00:00,22.3
130,26948030-0c30-11e8-aee9-89009e1e0a0e,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,7CyejM5VDmcQeKKWFXPjJQ==,2018-02-07 17:55:58.408999+00:00,0.5833333333333334
131,26948030-0c30-11e8-aee9-89009e1e0a0e,No data,No data,No data,2018-02-07 17:56:48.246999+00:00,0.0
132,26ce4990-0b9b-11e8-833a-8f998797f5d0,No data,No data,No data,2018-02-07 00:09:24.763000+00:00,1.1333333333333333
133,271d7730-0bec-11e8-8a07-0ff762bed17c,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,SSonnyiyONRnrjiY/QDAiw==,2018-02-07 09:49:14.377000+00:00,0.0
134,271d7730-0bec-11e8-8a07-0ff762bed17c,No data,No data,No data,2018-02-07 09:49:21.459000+00:00,1.15
135,2a63baa0-06e0-11e8-8064-31c802fce758,No data,No data,No data,2018-02-07 00:49:56.713999+00:00,0.6833333333333333
136,2aa35510-0c59-11e8-a169-2b14f78e2658,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 22:49:35.178999+00:00,0.0
137,2aa35510-0c59-11e8-a169-2b14f78e2658,No data,No data,No data,2018-02-07 22:49:48.440000+00:00,2.316666666666667
138,2b01ea10-0bfc-11e8-a57a-9f8c8f0cbed0,No data,No data,No data,2018-02-07 11:43:57.239000+00:00,0.95
139,2cb9e730-0be4-11e8-b8ee-ebaf2a5a3e30,No data,No data,No data,2018-02-07 12:52:18.203000+00:00,0.1
140,2d3da280-0baa-11e8-afbc-2799a3e47a25,No data,No data,No data,2018-02-07 01:56:57.341000+00:00,0.0
141,2d48f0e0-0c1d-11e8-95d3-bb022ad4a962,eUdUPXMqN2CImzRw+SVnXA==,email,Uiwkan+XEQuhr4f4nqG7yg==,2018-02-07 15:40:09.538000+00:00,1.0166666666666666
142,2d48f0e0-0c1d-11e8-95d3-bb022ad4a962,No data,No data,No data,2018-02-07 15:41:19.667999+00:00,3.5
143,2d48f0e0-0c1d-11e8-95d3-bb022ad4a962,eUdUPXMqN2CImzRw+SVnXA==,email,Uiwkan+XEQuhr4f4nqG7yg==,2018-02-07 15:45:02.555999+00:00,0.5333333333333333
144,2d48f0e0-0c1d-11e8-95d3-bb022ad4a962,No data,No data,No data,2018-02-07 15:45:50.032000+00:00,0.0
145,2d48f0e0-0c1d-11e8-95d3-bb022ad4a962,eUdUPXMqN2CImzRw+SVnXA==,email,Uiwkan+XEQuhr4f4nqG7yg==,2018-02-07 15:46:54.811000+00:00,1.6833333333333333
146,2eddd0d0-0c61-11e8-b16e-43ff49599de8,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 23:46:57.634000+00:00,0.15
147,2eddd0d0-0c61-11e8-b16e-43ff49599de8,No data,No data,No data,2018-02-07 23:47:08.085999+00:00,0.08333333333333333
